id,user_contract_id,weeklyschedule_id,label_id,breakduration,starts_at,ends_at,real_breakduration,real_starts_at,real_ends_at,did_not_show,validated_at,validator_id,planned_hours_last_edited_at,planned_hours_last_edited_by_id,created_at,updated_at,locked_at,partner_id,account_id,planification_type
104942278,1016369,5502556181,601363,,2024-03-30 09:00:00 UTC,2024-03-30 18:00:00 UTC,,2024-03-30 09:00:00 UTC,2024-03-30 18:00:00 UTC,False,,,,,2024-03-18 14:17:24.202454 UTC,2024-03-18 14:17:24.202454 UTC,,b9a284ed-a1e5-4a15-aca4-3cfa05b2d88a,55877,scheduled
105241737,996717,5805271061,654318,,2024-04-05 05:15:00 UTC,2024-04-05 12:45:00 UTC,,2024-04-05 05:15:00 UTC,2024-04-05 12:45:00 UTC,0,2024-04-07 07:13:50.624085 UTC,683189,,,2024-03-21 08:54:06.081116 UTC,2024-04-07 07:13:50.634912 UTC,,fdc1373f-77e4-4176-a9aa-a2dd6fa117d8,73406,scheduled
105241762,996717,5805271061,654318,,2024-04-06 06:45:00 UTC,2024-04-06 14:15:00 UTC,,2024-04-06 06:45:00 UTC,2024-04-06 14:15:00 UTC,no,2024-04-07 07:14:08.483751 UTC,683189,,,2024-03-21 08:54:26.87085 UTC,2024-04-07 07:14:08.49435 UTC,,ffcc03b2-2fc3-47f9-9ca3-a8b7b4b110eb,73406,scheduled
105241734,996717,5805271061,654318,,2024-04-04 05:15:00 UTC,2024-04-04 12:45:00 UTC,,2024-04-04 05:15:00 UTC,2024-04-04 12:45:00 UTC,FALSE,2024-04-07 07:13:46.020362 UTC,683189,,,2024-03-21 08:54:03.454254 UTC,2024-04-07 07:13:46.027859 UTC,,b391b6da-a001-499c-a4f4-1f34fa1ad58b,73406,scheduled
105241729,996717,5805271061,654318,,2024-04-03 05:15:00 UTC,2024-04-03 12:45:00 UTC,,2024-04-03 05:15:00 UTC,2024-04-03 12:45:00 UTC,no,2024-04-03 20:54:15.880513 UTC,683189,,,2024-03-21 08:53:58.193345 UTC,2024-04-03 20:54:15.886717 UTC,,48de76b8-c7ed-48c9-b63c-1d643168a3c4,73406,scheduled
105243510,996717,5805271061,654318,,2024-04-02 05:15:00 UTC,2024-04-02 12:45:00 UTC,,2024-04-02 05:15:00 UTC,2024-04-02 12:45:00 UTC,FALSE,2024-04-02 12:45:15.860552 UTC,683189,,,2024-03-21 09:08:32.439763 UTC,2024-04-02 12:45:15.879332 UTC,,6f505a44-2e9c-48e5-b914-9d5cd3d5a635,73406,scheduled
106056928,908452,3341843989,604624,,2024-04-23 07:00:00 UTC,2024-04-23 13:00:00 UTC,,2024-04-23 07:00:00 UTC,2024-04-23 13:00:00 UTC,0,,,,,2024-03-27 22:11:41.403526 UTC,2024-03-27 22:11:41.403526 UTC,,fa0b0e70-a6bb-4db5-bf96-6085de595638,15686,scheduled
106056929,908452,3341843989,604624,,2024-04-24 07:00:00 UTC,2024-04-24 13:00:00 UTC,,2024-04-24 07:00:00 UTC,2024-04-24 13:00:00 UTC,False,,,,,2024-03-27 22:11:43.208657 UTC,2024-03-27 22:11:43.208657 UTC,,313f6c87-ac25-4005-ae59-e5b000a3c053,15686,scheduled
106056933,908452,3341843989,604624,,2024-04-27 07:00:00 UTC,2024-04-27 13:00:00 UTC,,2024-04-27 07:00:00 UTC,2024-04-27 13:00:00 UTC,0,,,,,2024-03-27 22:11:47.903598 UTC,2024-03-27 22:11:47.903598 UTC,,5ff3188d-8f77-40b8-ae78-abff4cd85873,15686,scheduled
106056924,240969,3341843989,604623,,2024-04-23 05:00:00 UTC,2024-04-23 10:00:00 UTC,,2024-04-23 05:00:00 UTC,2024-04-23 10:00:00 UTC,false,,,,,2024-03-27 22:11:30.489685 UTC,2024-03-27 22:11:30.489685 UTC,,71e32765-4c5c-4cb6-b714-4b78e353462f,15686,scheduled
106056975,908452,3341843989,604623,,2024-04-26 05:00:00 UTC,2024-04-26 10:00:00 UTC,,2024-04-26 05:00:00 UTC,2024-04-26 10:00:00 UTC,false,,,,,2024-03-27 22:13:31.030767 UTC,2024-03-27 22:13:31.030767 UTC,,c4c02820-8f07-47b0-bb7f-21dc8a2feaa7,15686,scheduled
106056922,240969,3341843989,604623,,2024-04-22 05:00:00 UTC,2024-04-22 10:00:00 UTC,,2024-04-22 05:00:00 UTC,2024-04-22 10:00:00 UTC,FALSE,,,,,2024-03-27 22:11:28.466108 UTC,2024-03-27 22:11:28.466108 UTC,,a9ba38f8-ec63-44f2-a032-52041f7c9f23,15686,scheduled
106056974,908452,3341843989,604623,,2024-04-25 05:00:00 UTC,2024-04-25 10:00:00 UTC,,2024-04-25 05:00:00 UTC,2024-04-25 10:00:00 UTC,False,,,,,2024-03-27 22:13:29.0732 UTC,2024-03-27 22:13:29.0732 UTC,,eb4294f9-a89f-4356-abb0-b9ae96163ddb,15686,scheduled
106056927,240969,3341843989,604623,,2024-04-28 05:30:00 UTC,2024-04-28 10:30:00 UTC,,2024-04-28 05:30:00 UTC,2024-04-28 10:30:00 UTC,no,,,,,2024-03-27 22:11:36.809581 UTC,2024-03-27 22:11:36.809581 UTC,,90236712-d97c-4596-83f5-4b6226ecb711,15686,scheduled
106056926,240969,3341843989,604623,,2024-04-27 05:30:00 UTC,2024-04-27 10:30:00 UTC,,2024-04-27 05:30:00 UTC,2024-04-27 10:30:00 UTC,FALSE,,,,,2024-03-27 22:11:34.857979 UTC,2024-03-27 22:11:34.857979 UTC,,e9654eae-0891-41de-8ed5-9b85771e00ef,15686,scheduled
106056925,240969,3341843989,604623,,2024-04-24 05:00:00 UTC,2024-04-24 10:00:00 UTC,,2024-04-24 05:00:00 UTC,2024-04-24 10:00:00 UTC,False,,,,,2024-03-27 22:11:32.524044 UTC,2024-03-27 22:11:32.524044 UTC,,7db2f6ae-7dfc-4898-8a47-a0d165a5682a,15686,scheduled
104602348,53548,898403605,300331,,2024-03-23 08:00:00 UTC,2024-03-23 16:30:00 UTC,,2024-03-23 08:00:00 UTC,2024-03-23 16:30:00 UTC,false,,,2024-03-15 09:31:12.338739 UTC,208975,2024-03-15 09:30:49.71446 UTC,2024-04-05 15:40:58.940673 UTC,,f43e9dec-0b78-4520-a129-92b279e9e325,3455,scheduled
103278493,973781,898403605,300335,,2024-03-23 11:30:00 UTC,2024-03-23 19:30:00 UTC,,2024-03-23 11:30:00 UTC,2024-03-23 19:30:00 UTC,false,,,2024-03-15 09:26:26.854249 UTC,208975,2024-03-02 15:59:21.282549 UTC,2024-04-05 15:40:58.940673 UTC,,fb0dc123-2528-4b4b-81c2-349b342146a9,3455,scheduled
104602295,53548,898403605,300331,,2024-03-20 08:00:00 UTC,2024-03-20 16:30:00 UTC,,2024-03-20 08:00:00 UTC,2024-03-20 16:30:00 UTC,false,,,2024-03-15 09:31:01.243774 UTC,208975,2024-03-15 09:30:42.123305 UTC,2024-04-05 15:40:58.940673 UTC,,7675a77a-f6c1-4a95-bfcc-5df23bad3404,3455,scheduled
